S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,PAT Ann Rs.Cr.
1.,Reliance Industr,2550.25,25.87,1725398.66,0.31,21327.00,19.11,212945.00,2.69,10.14,66702.00
2.,TCS,3302.25,28.68,1208310.24,1.45,11436.00,14.77,59162.00,16.94,59.11,42125.19
3.,HDFC Bank,1701.40,20.67,950960.13,1.12,12634.01,20.60,47548.34,33.66,6.85,45997.11
4.,ICICI Bank,934.60,19.21,653879.51,0.86,10236.29,27.64,34438.91,37.76,6.82,34036.64
5.,Hind. Unilever,2678.15,61.88,629255.78,1.46,2601.00,12.38,15215.00,10.52,26.61,10168.54
6.,ITC,451.60,29.33,561249.28,2.82,5242.59,22.06,17634.89,6.52,39.10,19137.76
7.,Infosys,1335.50,23.11,554258.19,2.55,6134.00,7.77,37441.00,16.00,40.67,23988.31
8.,H D F C,2821.95,19.97,522463.30,1.56,8004.95,18.04,44633.62,27.36,9.38,26160.91
9.,St Bk of India,572.85,9.18,511246.39,1.97,18768.76,89.48,98083.19,31.47,5.21,55667.55
10.,Bharti Airtel,878.75,58.67,509457.90,0.34,4226.00,82.54,36009.00,14.31,13.53,8683.45
11.,Bajaj Finance,7160.60,37.67,433523.66,0.42,3157.79,30.51,11359.59,31.69,11.70,11507.69
12.,Life Insurance,632.25,10.99,399897.98,0.47,13427.81,466.20,200178.83,-5.27,148.72,36397.39
13.,Kotak Mah. Bank,1846.55,24.58,366838.42,0.06,4566.39,17.33,11981.63,35.57,7.37,14925.01
14.,Larsen & Toubro,2475.55,33.49,347956.56,0.97,4458.58,10.11,58335.15,10.38,12.54,10390.66
15.,Asian Paints,3362.05,78.02,322487.09,0.76,1258.41,34.51,8787.34,11.34,35.23,4133.20
16.,HCL Technologies,1187.95,21.72,322369.85,4.04,3981.00,10.80,26606.00,17.74,28.66,14845.00
17.,Axis Bank,987.45,13.19,304108.82,0.10,-5333.50,58.91,24629.66,35.26,6.54,23058.95
18.,Maruti Suzuki,9789.05,36.01,295707.62,0.92,2670.80,42.38,32059.60,19.85,17.69,8211.00
19.,Adani Enterp.,2388.05,102.19,272237.97,0.05,780.68,206.92,31346.05,26.06,10.09,2664.09
20.,Titan Company,3047.65,83.25,270566.15,0.33,736.00,33.66,10360.00,32.89,25.12,3250.00
21.,Avenue Super.,3889.20,106.35,252943.34,0.00,460.10,7.81,10594.11,20.57,20.15,2378.34
22.,Sun Pharma.Inds.,1051.60,29.24,252314.07,0.95,1982.90,36.86,10930.67,15.71,17.39,8628.86
23.,Bajaj Finserv,1528.00,37.93,243382.20,0.05,3335.14,31.41,23624.61,25.25,12.61,6417.28
24.,UltraTech Cem.,8294.75,47.29,239458.11,0.46,1670.10,-32.11,18662.38,18.36,12.65,5063.96
25.,Nestle India,22894.30,86.85,220737.03,0.96,736.64,24.69,4830.53,20.99,137.75,2385.93
26.,Tata Motors,595.55,84.54,213679.20,0.34,5496.04,562.62,105932.35,35.05,6.14,2527.44
27.,Wipro,389.15,18.82,213598.29,1.54,3093.50,-0.41,23190.30,11.17,17.71,11350.00
28.,O N G C,160.30,5.21,201661.88,6.71,5701.46,-35.15,164066.72,5.21,14.69,38698.31
29.,JSW Steel,784.80,51.18,189703.46,0.43,3741.00,-1.14,46962.00,0.14,8.37,3706.44
30.,NTPC,189.15,10.84,183412.44,3.70,4871.55,-5.92,44252.92,19.33,9.81,16912.55
31.,M & M,1453.60,19.29,180759.35,1.12,2998.37,28.40,32365.60,24.80,13.64,9372.31
32.,Power Grid Corpn,255.15,11.54,177978.68,4.61,4320.43,10.67,12263.72,14.76,13.00,15417.12
33.,Adani Ports,739.25,25.18,159688.27,0.68,1140.97,106.84,5796.85,39.99,9.91,6340.68
34.,LTIMindtree,5197.20,34.88,153778.87,1.15,1114.10,74.84,8691.00,102.04,37.74,4408.30
35.,Adani Green,945.90,132.34,149833.63,0.00,507.00,338.58,2598.00,77.82,7.81,1132.15
36.,Coal India,231.00,5.06,142359.02,8.77,5527.62,-17.41,38152.34,16.64,71.48,28124.94
37.,HDFC Life Insur.,651.20,102.31,139987.13,0.29,361.97,-28.49,20857.21,19.31,9.56,1368.28
38.,Tata Steel,112.00,17.30,136881.17,3.21,1566.24,-84.33,62961.54,-9.18,12.79,7913.69
39.,Siemens,3766.45,81.72,134130.91,0.27,516.00,61.91,4465.20,28.50,15.41,1513.05
40.,Bajaj Auto,4691.55,21.91,132750.86,2.98,1704.74,32.96,8929.23,11.97,26.51,6060.21
41.,Pidilite Inds.,2597.10,103.68,132014.29,0.39,285.86,11.28,2689.25,7.27,24.56,1273.25
42.,SBI Life Insuran,1306.90,76.03,130807.84,0.19,776.85,15.58,21295.58,3.02,15.47,1720.57
43.,Hindustan Zinc,307.35,12.34,129865.18,24.56,2589.00,-11.61,8509.00,-3.27,50.46,10520.00
44.,I O C L,91.30,13.17,128926.91,9.20,10841.23,54.83,203872.27,16.30,8.15,9792.12
45.,Hind.Aeronautics,3792.50,21.82,126816.46,1.32,2841.30,-8.40,12494.58,8.10,30.60,5811.17
46.,DLF,490.55,59.70,121426.42,0.61,569.60,40.53,1456.06,-5.89,4.65,2033.95
47.,Britannia Inds.,5024.55,59.62,121025.48,1.43,557.60,47.53,4023.18,13.31,48.85,2030.01
48.,Grasim Inds,1734.65,16.63,114214.93,0.29,2355.67,-46.14,33462.14,16.14,12.56,6868.07
49.,Godrej Consumer,1081.00,63.33,110554.21,0.00,452.14,24.05,3200.16,9.75,16.77,1745.65
50.,Tech Mahindra,1130.85,22.82,110192.76,2.83,1125.00,-25.77,13718.20,13.22,22.49,4828.39
51.,IndusInd Bank,1374.65,14.43,106666.08,1.02,2040.51,49.89,10020.71,27.49,7.37,7389.72
52.,Varun Beverages,802.55,62.35,104260.56,0.06,438.57,68.79,3892.98,37.68,27.77,1539.90
53.,Vedanta,277.95,9.68,103319.48,36.52,3132.00,-62.35,37930.00,-4.75,23.76,10677.81
54.,Dabur India,572.95,59.68,101528.73,0.91,292.76,-18.12,2677.80,6.35,23.49,1701.33
55.,Bank of Baroda,190.35,6.61,98436.88,2.89,5315.10,158.68,27077.32,41.79,5.17,14890.97
56.,Eicher Motors,3580.10,33.60,97909.14,0.59,905.58,48.42,3804.32,19.13,27.35,2913.94
57.,Adani Power,249.85,8.95,96365.62,0.00,5242.48,12.85,10242.06,-3.36,15.80,10765.22
58.,Divi's Lab.,3583.60,52.17,95133.32,0.84,320.97,-64.12,1950.77,-22.54,19.34,1823.38
59.,Hindalco Inds.,420.95,9.40,94595.66,0.95,2411.00,-40.59,55857.00,0.17,11.10,10065.74
60.,Cholaman.Inv.&Fn,1142.00,35.23,93881.29,0.18,855.20,24.53,3741.11,43.61,9.71,2664.85
61.,A B B,4423.00,108.12,93727.07,0.12,244.89,64.38,2411.21,22.50,23.03,764.16
62.,Bharat Electron,125.75,30.80,91920.47,1.19,1382.01,19.74,6479.12,2.20,30.06,2984.42
63.,Shree Cement,23886.45,64.89,86184.10,0.42,546.21,-15.34,4785.11,16.75,9.01,1328.13
64.,Dr Reddy's Labs,5159.60,19.06,85921.83,0.78,960.10,889.79,6315.20,15.35,26.22,4507.30
65.,Adani Transmissi,767.25,68.12,85586.18,0.00,439.60,69.63,3357.66,12.87,10.48,1256.48
66.,Ambuja Cements,425.90,30.21,84568.63,0.59,763.30,12.01,7965.98,0.83,16.00,2799.47
67.,ICICI Pru Life,572.50,101.24,82358.69,0.10,235.26,25.89,10983.81,-15.53,10.02,813.49
68.,Cipla,1014.95,28.00,81922.41,0.84,521.51,60.85,5739.30,9.11,18.78,2925.83
69.,Havells India,1282.80,75.00,80389.79,0.58,358.04,1.58,4859.21,9.78,22.31,1071.83
70.,SBI Cards,847.20,35.49,80154.96,0.30,596.47,2.69,3762.16,31.99,13.05,2258.47
71.,Tata Consumer,860.90,74.19,79978.61,0.98,289.56,18.59,3618.73,13.96,9.86,1078.04
72.,B P C L,364.70,23.46,79112.65,4.39,6870.47,188.68,118115.39,13.49,6.86,3372.09
73.,Bajaj Holdings,7004.55,16.07,77953.64,1.76,1353.15,22.38,86.69,-3.10,11.51,4850.52
74.,Apollo Hospitals,5098.20,89.50,73304.29,0.29,145.64,60.33,4302.20,21.31,14.65,819.07
75.,Adani Total Gas,654.60,131.84,71993.57,0.04,97.91,20.74,1114.78,10.15,20.74,546.07
76.,Tata Power Co.,221.85,21.94,70888.61,0.90,938.81,-21.27,12453.76,4.13,12.42,3231.73
77.,GAIL (India),105.05,12.34,69071.42,6.35,642.74,-81.64,33264.06,21.72,9.77,5595.89
78.,Marico,530.95,52.74,68661.25,1.74,305.00,20.32,2240.00,3.66,43.70,1302.00
79.,Mankind Pharma,1706.80,54.77,68372.43,0.00,280.99,29.20,1872.12,13.82,21.87,1248.26
80.,SRF,2289.45,31.45,67864.98,0.31,562.45,-7.13,3778.09,6.44,22.37,2157.95
81.,United Spirits,912.20,68.24,66348.94,0.00,102.80,-56.74,2502.80,-1.30,20.54,972.23
82.,ICICI Lombard,1344.45,38.13,66033.78,0.74,436.96,39.82,4518.72,12.40,22.05,1731.93
83.,Berger Paints,678.10,76.65,65872.16,0.46,186.01,-15.71,2443.63,11.71,23.75,859.42
84.,Macrotech Devel.,679.80,47.66,65529.68,0.00,746.18,39.01,3255.38,-5.49,9.30,1374.84
85.,Shriram Finance,1735.20,10.81,64970.62,2.02,1288.18,17.77,7966.45,56.77,12.14,6011.69
86.,Torrent Pharma.,1904.95,51.78,64472.16,1.15,287.00,0.70,2491.00,16.89,20.20,1245.00
87.,TVS Motor Co.,1325.65,49.61,62981.63,0.38,335.67,21.60,8031.40,21.96,13.48,1269.59
88.,Trent,1764.15,211.83,62713.32,0.12,45.01,325.59,2182.75,64.26,11.59,296.06
89.,Tube Investments,3174.90,73.96,61358.37,0.11,477.40,27.11,3778.24,11.36,37.49,829.59
90.,IDBI Bank,55.35,16.05,59514.55,1.81,1223.35,65.63,5729.46,24.33,4.26,3707.91
91.,P I Industries,3921.75,48.39,59500.05,0.25,280.60,37.28,1565.60,12.21,21.66,1229.50
92.,Jindal Steel,581.05,18.08,59272.22,0.52,465.66,-60.43,13691.93,-4.52,14.47,3279.11
93.,Zydus Lifesci.,583.05,24.80,59016.56,1.03,358.20,47.62,5010.60,31.66,16.65,2379.85
94.,Max Healthcare,599.45,52.77,58231.61,0.00,250.92,102.80,1214.51,29.60,15.01,1103.51
95.,Hero Motocorp,2910.10,20.77,58155.36,3.44,810.80,31.70,8434.28,12.51,23.57,2799.90
96.,Samvardh. Mothe.,85.70,37.47,58073.93,0.51,699.10,37.05,22476.85,30.37,9.26,1549.86
97.,Info Edg.(India),4483.65,274.71,57921.64,0.42,-503.20,-194.92,604.78,27.87,4.27,210.85
98.,CG Power & Indu.,378.50,76.57,57804.49,0.40,426.22,125.48,1902.79,28.18,61.18,754.96
99.,Power Fin.Corpn.,215.90,3.59,56999.36,6.14,6128.63,45.88,20060.86,6.41,9.38,15889.33
100.,Punjab Natl.Bank,51.65,17.00,56871.90,1.26,1876.29,451.11,24305.34,27.32,4.11,3345.88
101.,Bosch,19042.35,39.43,56162.82,2.52,399.00,13.80,4063.40,22.72,17.36,1424.50
102.,Indian Hotels Co,392.50,58.26,55750.71,0.25,338.84,493.53,1625.43,86.39,13.29,956.90
103.,Canara Bank,301.85,5.00,54759.52,3.98,3363.65,73.89,24304.22,33.34,5.33,10948.40
104.,Cummins India,1943.10,47.22,53862.73,1.29,318.50,68.38,1926.00,28.95,27.66,1140.65
105.,Adani Wilmar,409.95,87.45,53280.32,0.00,97.70,-56.21,13121.89,-7.79,15.37,609.27
106.,Astral,1982.55,119.34,53253.59,0.11,206.20,41.98,1506.20,8.31,25.11,446.22
107.,Polycab India,3551.15,43.83,53219.30,0.56,428.42,31.85,4323.68,8.91,27.11,1214.23
108.,IDFC First Bank,79.40,21.17,52606.03,0.00,816.12,131.65,6424.42,41.08,7.47,2484.93
109.,UPL,687.55,14.07,51608.03,1.45,1080.00,-45.47,16569.00,4.46,15.75,3667.29
110.,I R C T C,635.10,51.51,50808.00,0.55,278.80,20.47,965.02,39.66,58.99,986.41
111.,AU Small Finance,753.65,35.20,50263.22,0.13,424.63,22.70,2274.85,36.46,8.54,1427.93
112.,Abbott India,23419.15,52.42,49765.69,0.77,231.42,9.47,1343.08,7.04,41.12,949.41
113.,Muthoot Finance,1239.65,14.33,49765.61,1.77,902.66,-6.00,2853.43,6.87,12.04,3473.53
114.,Union Bank (I),72.25,5.80,49381.05,4.15,2811.78,80.58,22163.00,30.16,5.20,8511.67
115.,Ashok Leyland,167.40,41.20,49150.77,1.55,802.71,178.60,13202.55,33.00,12.00,1192.98
116.,HDFC AMC,2295.65,34.41,48998.44,2.09,376.20,9.50,540.95,4.78,32.31,1423.84
117.,Aditya Birla Cap,196.30,19.43,48970.86,0.00,635.78,35.17,8024.95,21.28,8.51,2520.22
118.,Schaeffler India,3097.55,55.00,48415.84,0.77,219.37,5.91,1693.62,8.05,28.98,868.47
119.,Tata Elxsi,7588.50,62.43,47258.48,0.80,201.52,25.94,837.92,22.91,47.74,757.00
120.,Yes Bank,16.25,63.50,46727.96,0.00,206.21,-44.55,6218.45,25.71,5.21,735.82
121.,P & G Hygiene,14324.45,81.65,46498.22,0.56,165.02,60.45,883.09,-9.26,109.98,577.02
122.,NHPC Ltd,45.95,11.87,46156.93,3.94,719.18,37.73,2028.77,21.17,8.92,3889.98
123.,I O B,24.40,21.99,46121.89,0.00,650.07,17.69,5192.44,23.20,4.53,2097.37
124.,Colgate-Palmoliv,1688.10,43.51,45913.89,2.37,316.22,-1.85,1350.63,3.79,79.13,1055.17
125.,Balkrishna Inds,2370.40,43.34,45823.91,0.67,259.80,-30.69,2317.01,-2.41,14.56,1057.40
126.,Tata Comm,1594.65,26.26,45447.53,1.32,326.64,-13.63,4568.66,7.17,23.96,1730.90
127.,JSW Energy,272.75,34.46,44858.53,0.73,282.03,-68.53,2669.97,9.39,7.29,1301.64
128.,Indus Towers,164.25,20.40,44264.34,6.70,1399.10,-23.48,6752.90,-5.11,11.45,2169.77
129.,Godrej Propert.,1568.45,76.32,43607.47,0.00,453.87,59.34,1646.27,23.72,6.56,571.39
130.,REC Ltd,164.65,3.88,43356.03,7.65,3065.37,33.20,10243.06,6.33,9.14,11166.98
131.,Patanjali Foods,1188.70,48.54,43030.33,0.42,263.71,12.49,7872.92,18.15,13.40,886.44
132.,MRF,101260.50,55.84,42934.45,0.17,340.67,106.21,5841.72,10.12,7.94,768.95
133.,I R F C,32.70,6.74,42734.01,4.28,1327.71,-11.04,6236.49,5.14,5.32,6337.01
134.,Aurobindo Pharma,727.35,22.11,42618.24,1.24,505.91,-31.08,6472.96,11.42,9.25,1927.50
135.,FSN E-Commerce,148.60,2200.98,42390.91,0.00,2.27,-70.05,1301.72,33.74,5.50,19.26
136.,Alkem Lab,3512.85,39.56,42001.39,0.71,67.68,-11.91,2902.60,16.86,13.87,1061.84
137.,Page Industries,37647.20,73.48,41976.63,0.98,78.35,-58.88,969.09,-12.78,53.72,571.25
138.,L&T Technology,3936.10,36.49,41591.89,1.14,310.90,18.17,2096.20,19.37,32.75,1139.69
139.,M & M Fin. Serv.,336.45,19.68,41571.35,1.78,674.92,8.20,3462.69,20.86,8.89,2112.61
140.,Lupin,902.75,95.52,41082.35,0.44,242.39,146.11,4430.08,14.09,5.95,430.08
