S.No.,Name,CMP Rs.,P/E,Div Yld %,ROCE %
1.0,Reliance Industr,2550.25,25.87,0.31,10.14
2.0,TCS,3302.25,28.68,1.45,59.11
3.0,HDFC Bank,1701.4,20.67,1.12,6.85
4.0,ICICI Bank,934.6,19.21,0.86,6.82
5.0,Hind. Unilever,2678.15,61.88,1.46,26.61
6.0,ITC,451.6,29.33,2.82,39.1
7.0,Infosys,1335.5,23.11,2.55,40.67
8.0,H D F C,2821.95,19.97,1.56,9.38
9.0,St Bk of India,572.85,9.18,1.97,5.21
10.0,Bharti Airtel,878.75,58.67,0.34,13.53
11.0,Bajaj Finance,7160.6,37.67,0.42,11.7
12.0,Life Insurance,632.25,10.99,0.47,148.72
13.0,Kotak Mah. Bank,1846.55,24.58,0.06,7.37
14.0,Larsen & Toubro,2475.55,33.49,0.97,12.54
15.0,Asian Paints,3362.05,78.02,0.76,35.23
16.0,HCL Technologies,1187.95,21.72,4.04,28.66
17.0,Axis Bank,987.45,13.19,0.1,6.54
18.0,Maruti Suzuki,9789.05,36.01,0.92,17.69
19.0,Adani Enterp.,2388.05,102.19,0.05,10.09
20.0,Titan Company,3047.65,83.25,0.33,25.12
21.0,Avenue Super.,3889.2,106.35,0.0,20.15
22.0,Sun Pharma.Inds.,1051.6,29.24,0.95,17.39
23.0,Bajaj Finserv,1528.0,37.93,0.05,12.61
24.0,UltraTech Cem.,8294.75,47.29,0.46,12.65
25.0,Nestle India,22894.3,86.85,0.96,137.75
26.0,Tata Motors,595.55,84.54,0.34,6.14
27.0,Wipro,389.15,18.82,1.54,17.71
28.0,O N G C,160.3,5.21,6.71,14.69
29.0,JSW Steel,784.8,51.18,0.43,8.37
30.0,NTPC,189.15,10.84,3.7,9.81
31.0,M & M,1453.6,19.29,1.12,13.64
32.0,Power Grid Corpn,255.15,11.54,4.61,13.0
33.0,Adani Ports,739.25,25.18,0.68,9.91
34.0,LTIMindtree,5197.2,34.88,1.15,37.74
35.0,Adani Green,945.9,132.34,0.0,7.81
36.0,Coal India,231.0,5.06,8.77,71.48
37.0,HDFC Life Insur.,651.2,102.31,0.29,9.56
38.0,Tata Steel,112.0,17.3,3.21,12.79
39.0,Siemens,3766.45,81.72,0.27,15.41
40.0,Bajaj Auto,4691.55,21.91,2.98,26.51
41.0,Pidilite Inds.,2597.1,103.68,0.39,24.56
42.0,SBI Life Insuran,1306.9,76.03,0.19,15.47
43.0,Hindustan Zinc,307.35,12.34,24.56,50.46
44.0,I O C L,91.3,13.17,9.2,8.15
45.0,Hind.Aeronautics,3792.5,21.82,1.32,30.6
46.0,DLF,490.55,59.7,0.61,4.65
47.0,Britannia Inds.,5024.55,59.62,1.43,48.85
48.0,Grasim Inds,1734.65,16.63,0.29,12.56
49.0,Godrej Consumer,1081.0,63.33,0.0,16.77
50.0,Tech Mahindra,1130.85,22.82,2.83,22.49
51.0,IndusInd Bank,1374.65,14.43,1.02,7.37
52.0,Varun Beverages,802.55,62.35,0.06,27.77
53.0,Vedanta,277.95,9.68,36.52,23.76
54.0,Dabur India,572.95,59.68,0.91,23.49
55.0,Bank of Baroda,190.35,6.61,2.89,5.17
56.0,Eicher Motors,3580.1,33.6,0.59,27.35
57.0,Adani Power,249.85,8.95,0.0,15.8
58.0,Divi's Lab.,3583.6,52.17,0.84,19.34
59.0,Hindalco Inds.,420.95,9.4,0.95,11.1
60.0,Cholaman.Inv.&Fn,1142.0,35.23,0.18,9.71
61.0,A B B,4423.0,108.12,0.12,23.03
62.0,Bharat Electron,125.75,30.8,1.19,30.06
63.0,Shree Cement,23886.45,64.89,0.42,9.01
64.0,Dr Reddy's Labs,5159.6,19.06,0.78,26.22
65.0,Adani Transmissi,767.25,68.12,0.0,10.48
66.0,Ambuja Cements,425.9,30.21,0.59,16.0
67.0,ICICI Pru Life,572.5,101.24,0.1,10.02
68.0,Cipla,1014.95,28.0,0.84,18.78
