Name,Current_Price,P2E_Ratio,Div_Yld,ROCE
Coal India,231.0,5.06,8.77,71.48
Castrol India,120.8,15.14,5.38,60.76
Swaraj Engines,2131.4,19.38,4.32,55.41
Hindustan Zinc,307.35,12.34,24.56,50.46
Sanofi India,6912.3,28.92,2.81,41.36
ITC,451.6,29.33,2.82,39.1
VST Industries,3460.6,16.34,4.33,38.06
MSTC,347.0,10.1,3.72,37.95
Accelya Solution,1323.95,17.76,4.68,37.7
GHCL,515.25,4.53,3.4,35.53
Oracle Fin.Serv.,3858.65,18.48,5.83,35.11
Aditya AMC,372.35,17.98,3.08,33.13
Rites,371.95,16.49,4.57,30.47
Styrenix Perfor.,1070.35,10.29,9.81,30.42
Glenmark Life,569.15,14.93,3.69,29.86
HCL Technologies,1187.95,21.72,4.04,28.66
Oil India,244.95,3.04,5.92,26.86
Nippon Life Ind.,288.15,24.83,3.99,26.64
Bajaj Auto,4691.55,21.91,2.98,26.51
Sun TV Network,439.25,10.14,3.41,26.02
Allsec Tech.,543.2,16.94,8.28,25.93
Banco Products,301.35,9.15,6.64,25.71
Redington,186.0,10.44,3.87,24.97
Vedanta,277.95,9.68,36.52,23.76
Hero Motocorp,2910.1,20.77,3.44,23.57
IIFL Securities,61.05,7.47,4.91,22.97
Sh. Digvijay Cem,78.9,19.88,5.07,22.69
Tech Mahindra,1130.85,22.82,2.83,22.49
Nirlon,399.4,22.79,6.51,22.37
Bajaj Consumer,193.8,20.13,4.13,21.11
