Name,CMP,P2E_Ratio,Market_Cap,Qtr_Profit_Growth,Qtr_Sales_Growth,Div_Yld,ROCE
Reliance Industr,2550.25,25.87,1725398.66,19.11,2.69,0.31,10.14
TCS,3302.25,28.68,1208310.24,14.77,16.94,1.45,59.10
HDFC Bank,1701.4,20.67,950960.13,20.6,33.66,1.12,6.85
ICICI Bank,934.6,19.21,653879.51,27.64,37.76,0.86,6.82
Hind. Unilever,2678.15,61.88,629255.78,12.38,10.52,1.46,26.61
ITC,451.6,29.33,561249.28,22.06,6.52,2.82,39.1
Infosys,1335.5,23.11,554258.19,7.77,16.0,2.55,40.67
H D F C,2821.95,19.97,522463.3,18.04,27.36,1.56,9.38
St Bk of India,572.85,9.18,511246.39,89.48,31.47,1.97,5.21
Bharti Airtel,878.75,58.67,509457.9,82.54,14.31,0.34,13.53
Bajaj Finance,7160.6,37.67,433523.66,30.51,31.69,0.42,11.7
Life Insurance,632.25,10.99,399897.98,466.2,-5.27,0.47,148.72
Kotak Mah. Bank,1846.55,24.58,366838.42,17.33,35.57,0.06,7.37
Larsen & Toubro,2475.55,33.49,347956.56,10.11,10.38,0.97,12.54
Asian Paints,3362.05,78.02,322487.09,34.51,11.34,0.76,35.23
HCL Technologies,1187.95,21.72,322369.85,10.8,17.74,4.04,28.66
Axis Bank,987.45,13.19,304108.82,58.91,35.26,0.1,6.54
Maruti Suzuki,9789.05,36.01,295707.62,42.38,19.85,0.92,17.69
Adani Enterp.,2388.05,102.19,272237.97,206.92,26.06,0.05,10.09
Titan Company,3047.65,83.25,270566.15,33.66,32.89,0.33,25.12
Avenue Super.,3889.2,106.35,252943.34,7.81,20.57,0.0,20.15
Sun Pharma.Inds.,1051.6,29.24,252314.07,36.86,15.71,0.95,17.39
Bajaj Finserv,1528.0,37.93,243382.2,31.41,25.25,0.05,12.61
UltraTech Cem.,8294.75,47.29,239458.11,-32.11,18.36,0.46,12.65
Nestle India,22894.3,86.85,220737.03,24.69,20.99,0.96,137.75
Tata Motors,595.55,84.54,213679.2,562.62,35.05,0.34,6.14
Wipro,389.15,18.82,213598.29,-0.41,11.17,1.54,17.71
O N G C,160.3,5.21,201661.88,-35.15,5.21,6.71,14.69
JSW Steel,784.8,51.18,189703.46,-1.14,0.14,0.43,8.37
NTPC,189.15,10.84,183412.44,-5.92,19.33,3.7,9.81
M & M,1453.6,19.29,180759.35,28.4,24.8,1.12,13.64
Power Grid Corpn,255.15,11.54,177978.68,10.67,14.76,4.61,13.0
Adani Ports,739.25,25.18,159688.27,106.84,39.99,0.68,9.91
LTIMindtree,5197.2,34.88,153778.87,74.84,102.04,1.15,37.74
Adani Green,945.9,132.34,149833.63,338.58,77.82,0.0,7.81
Coal India,231.0,5.06,142359.02,-17.41,16.64,8.77,71.48
HDFC Life Insur.,651.2,102.31,139987.13,-28.49,19.31,0.29,9.56
Tata Steel,112.0,17.3,136881.17,-84.33,-9.18,3.21,12.79
Siemens,3766.45,81.72,134130.91,61.91,28.5,0.27,15.41
Bajaj Auto,4691.55,21.91,132750.86,32.96,11.97,2.98,26.51
Pidilite Inds.,2597.1,103.68,132014.29,11.28,7.27,0.39,24.56
SBI Life Insuran,1306.9,76.03,130807.84,15.58,3.02,0.19,15.47
Hindustan Zinc,307.35,12.34,129865.18,-11.61,-3.27,24.56,50.46
I O C L,91.3,13.17,128926.91,54.83,16.3,9.2,8.15
Hind.Aeronautics,3792.5,21.82,126816.46,-8.4,8.1,1.32,30.6
DLF,490.55,59.7,121426.42,40.53,-5.89,0.61,4.65
Britannia Inds.,5024.55,59.62,121025.48,47.53,13.31,1.43,48.85
Grasim Inds,1734.65,16.63,114214.93,-46.14,16.14,0.29,12.56
Godrej Consumer,1081.0,63.33,110554.21,24.05,9.75,0.0,16.77
Tech Mahindra,1130.85,22.82,110192.76,-25.77,13.22,2.83,22.49
IndusInd Bank,1374.65,14.43,106666.08,49.89,27.49,1.02,7.37
Varun Beverages,802.55,62.35,104260.56,68.79,37.68,0.06,27.77
Vedanta,277.95,9.68,103319.48,-62.35,-4.75,36.52,23.76
Dabur India,572.95,59.68,101528.73,-18.12,6.35,0.91,23.49
Bank of Baroda,190.35,6.61,98436.88,158.68,41.79,2.89,5.17
Eicher Motors,3580.1,33.6,97909.14,48.42,19.13,0.59,27.35
Adani Power,249.85,8.95,96365.62,12.85,-3.36,0.0,15.8
Divi's Lab.,3583.6,52.17,95133.32,-64.12,-22.54,0.84,19.34
Hindalco Inds.,420.95,9.4,94595.66,-40.59,0.17,0.95,11.1
Cholaman.Inv.&Fn,1142.0,35.23,93881.29,24.53,43.61,0.18,9.71
